,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
SPRED3,-0.090133117,3.4597783,-1.352367915,0.176488388,0.2926882,-4.702871416,-0.048094561,0.048094561
GTF2A2,0.014307546,6.233668347,2.287362283,0.022331698,0.05808951,-4.703091152,0.017682728,0.017682728
FZD10,-0.057395481,5.263133287,-1.651645456,0.098843781,0.187593634,-4.703277369,-0.041713997,0.041713997
CACNG4,-0.10112779,6.170677465,-2.201280881,0.027888044,0.069438485,-4.703589417,-0.117146408,0.117146408
SNORA38B,0.033563659,1.990127028,1.331811948,0.183151023,0.300803824,-4.704372694,0.01751072,0.01751072
CTTNBP2NL,0.016307394,6.241424655,2.291595351,0.022085277,0.057646167,-4.704575147,0.020208604,0.020208604
LOC283856,-0.099450568,2.786793995,-1.335989513,0.181782093,0.299128371,-4.704620926,-0.052126259,0.052126259
FAM115A,-0.030903044,6.060565723,-2.160106437,0.030943273,0.075352601,-4.704911027,-0.034701082,0.034701082
MMP10,-0.113394866,5.036706321,-1.545314065,0.122509091,0.221696497,-4.705115345,-0.074187589,0.074187589
CORIN,-0.065591827,5.555690197,-1.797731501,0.072447146,0.14703364,-4.705502692,-0.054610659,0.054610659
MESP2,0.068153143,5.104750057,1.617035589,0.106108612,0.197918901,-4.705504833,0.047946603,0.047946603
CHRNA4,0.110631115,2.659910822,1.334798004,0.182171757,0.299594388,-4.706109449,0.057911664,0.057911664
CXorf42,-0.02942768,5.078575457,-1.57996116,0.11435442,0.210146024,-4.706282994,-0.01993663,0.01993663
GFRA2,-0.071477654,4.787754315,-1.474175849,0.140671774,0.246228658,-4.706859393,-0.043505689,0.043505689
SPRYD5,0.046465647,2.049625606,1.328644026,0.184194195,0.302119784,-4.707469779,0.024153812,0.024153812
GAL3ST1,0.096785424,3.962470003,1.353899273,0.175999376,0.292122829,-4.707699727,0.05172547,0.05172547
KCNB1,0.092933241,4.432863627,1.412650432,0.157993354,0.269260316,-4.707957629,0.05295593,0.05295593
KCNK18,0.017798649,1.943846676,1.328506182,0.184239685,0.302119784,-4.708285875,0.009252108,0.009252108
ADAMTS4,0.029157876,6.190836418,2.267542131,0.023517599,0.060511953,-4.708318758,0.035518924,0.035518924
LRRC49,-0.03048327,5.709012406,-1.905326011,0.056953976,0.122296666,-4.708838408,-0.027818586,0.027818586
PKDCC,-0.038911868,5.763664891,-1.938002495,0.052835122,0.115348398,-4.708882319,-0.036498882,0.036498882
SAA3P,0.024421502,1.961352594,1.327751528,0.184488881,0.302369526,-4.708950938,0.012686042,0.012686042
AIFM1,0.014418847,6.335988319,2.330993693,0.019903063,0.0531314,-4.709552788,0.018378965,0.018378965
ABCA4,-0.083608544,5.184762655,-1.606772432,0.108342543,0.201343195,-4.709565972,-0.058196818,0.058196818
OR2B3,0.015966431,1.938413685,1.326773662,0.184812155,0.30272544,-4.710185903,0.008285797,0.008285797
LOC643486,0.01678496,1.941450663,1.325985481,0.185073026,0.303077246,-4.711008951,0.008702107,0.008702107
CTXN2,0.104662701,3.126632799,1.339945916,0.180492656,0.297652172,-4.711177573,0.055083032,0.055083032
IRAK3,-0.03789027,5.87285085,-2.015519678,0.044051792,0.099933479,-4.711231163,-0.03790122,0.03790122
C21orf129,0.095526513,2.825423888,1.332543549,0.182910736,0.300434197,-4.711671213,0.049888782,0.049888782
FAM69C,-0.100491378,4.151844304,-1.354160839,0.175915951,0.292008932,-4.711707901,-0.053723079,0.053723079
CD6,0.045040529,5.780853876,1.987979466,0.047019455,0.105345155,-4.711782081,0.044021957,0.044021957
GPR110,0.124731668,4.296517221,1.386988106,0.165678644,0.278888143,-4.712781876,0.069172435,0.069172435
C9orf150,-0.039578375,6.18915738,-2.238624038,0.025345877,0.064313122,-4.713062588,-0.047165565,0.047165565
UPK1A,0.120669037,4.039619002,1.354674874,0.175752088,0.291818855,-4.713558992,0.064544257,0.064544257
MAP7,-0.022103085,6.346206814,-2.323397646,0.020308503,0.053965408,-4.713848923,-0.028024159,0.028024159
KIAA1522,-0.015671643,6.591682743,-2.410082279,0.01608446,0.044673136,-4.714182202,-0.021155991,0.021155991
PDE10A,-0.039389355,5.703106251,-1.894454172,0.058382313,0.124779621,-4.715020982,-0.035602318,0.035602318
C4orf45,0.036890991,2.018406065,1.321620658,0.186522628,0.304919513,-4.715134511,0.019028919,0.019028919
OVCH2,-0.104552749,2.773119879,-1.325836852,0.185122249,0.303092884,-4.71527423,-0.054202681,0.054202681
PINK1,-0.014537841,6.360605211,-2.330655466,0.019920964,0.053164798,-4.715404988,-0.018526673,0.018526673
DOCK6,-0.016798728,6.208294792,-2.257433059,0.024143257,0.061792361,-4.715557678,-0.020310758,0.020310758
PDHA2,0.025455792,1.965326868,1.321237019,0.186650439,0.305002063,-4.715890573,0.013127481,0.013127481
KLK8,0.141218442,4.160403182,1.364638386,0.172598417,0.28785861,-4.717229948,0.076373868,0.076373868
TRANK1,-0.021813726,6.221146538,-2.261690663,0.023878011,0.061279438,-4.717424582,-0.026453183,0.026453183
BTN2A1,0.013255533,6.170714262,2.246018534,0.02486703,0.063282436,-4.717552874,0.01588963,0.01588963
EFEMP2,-0.023929288,6.259354191,-2.281058173,0.022703118,0.058861595,-4.717746601,-0.029437044,0.029437044
GRTP1,-0.027331637,6.031511579,-2.134027817,0.033023658,0.079503448,-4.717943554,-0.030054252,0.030054252
SLC27A6,0.10972696,4.861879675,1.526705983,0.127072781,0.227968223,-4.71797845,0.0704585,0.0704585
ZNF23,0.017269419,5.952585358,2.097166118,0.036167981,0.085367168,-4.718297404,0.018455986,0.018455986
C1orf156,-0.01865895,6.000799706,-2.115855603,0.034543202,0.082360045,-4.718465852,-0.02023159,0.02023159
B3GNT9,-0.022707384,6.045734943,-2.146114521,0.032045008,0.07757582,-4.718538368,-0.02521141,0.02521141
SNORA26,0.03387988,1.994737864,1.318168125,0.187675185,0.306346659,-4.718947321,0.017407037,0.017407037
GAGE2C,0.045679531,2.012682316,1.31744388,0.187917626,0.306640897,-4.719587244,0.023450497,0.023450497
RIMS3,0.037334087,5.731194793,1.945526195,0.051922911,0.113747158,-4.719830757,0.035245598,0.035245598
TTTY10,0.015963588,1.938413685,1.317694652,0.187833654,0.30657996,-4.719885198,0.008196604,0.008196604
NTN3,0.09662241,3.319967017,1.336341839,0.181666989,0.298988612,-4.720087721,0.050663512,0.050663512
PWP1,0.011164549,6.310789881,2.315000832,0.020765061,0.054934393,-4.720488236,0.01406907,0.01406907
?|652919,-0.157486396,3.928383278,-1.339774466,0.180548392,0.297719196,-4.720578872,-0.082868265,0.082868265
SLC17A3,-0.071719767,2.261572238,-1.315957194,0.188416018,0.307254055,-4.72090975,-0.036756551,0.036756551
ASCL4,-0.114790124,3.261069823,-1.330785655,0.183488492,0.301182533,-4.720922197,-0.059825194,0.059825194
AIFM3,-0.05514161,5.157081783,-1.59399918,0.111174696,0.205579908,-4.722039538,-0.037883352,0.037883352
APOB48R,-0.034637502,5.994259466,-2.100609481,0.035863821,0.084811637,-4.722236191,-0.037115627,0.037115627
FADS3,0.022998472,6.032820323,2.15627445,0.031241722,0.076004312,-4.723094379,0.02573901,0.02573901
DNAH2,-0.069207323,5.412476676,-1.707919782,0.08788545,0.171206142,-4.723283541,-0.053046074,0.053046074
COL13A1,0.048751531,5.309016084,1.692728381,0.090742249,0.175440548,-4.724320366,0.036849821,0.036849821
TPTE2P1,-0.07605212,4.295209113,-1.357158196,0.174962065,0.291013301,-4.724539105,-0.040770565,0.040770565
CACNA2D1,-0.100031217,5.203401224,-1.600192198,0.109794325,0.203427866,-4.725021613,-0.069180545,0.069180545
OTX2,0.059913258,2.122660802,1.311867141,0.189792191,0.308958568,-4.725208559,0.030561738,0.030561738
IFNA2,-0.021333377,1.952148797,-1.31255732,0.189559449,0.308681593,-4.725400447,-0.01089046,0.01089046
SEPHS2,0.017365626,6.505887769,2.384822231,0.017227318,0.047198273,-4.725484038,0.023028104,0.023028104
ZNF735,0.018239077,1.940252657,1.311605039,0.189880632,0.309051528,-4.726333074,0.009301366,0.009301366
DAO,0.059369597,2.211590369,1.310528437,0.190244229,0.309617774,-4.726742774,0.030229462,0.030229462
TRAPPC10,0.012674928,6.34313575,2.326017071,0.020167883,0.053664036,-4.726894293,0.016101172,0.016101172
ERN1,-0.049250517,5.821577659,-1.964974883,0.049625797,0.10977558,-4.726916175,-0.047255588,0.047255588
PBOV1,-0.087677446,2.771775165,-1.315074146,0.18871251,0.307607161,-4.726953953,-0.044891164,0.044891164
NCRNA00203,-0.080364795,2.609812142,-1.312040957,0.189733557,0.308888612,-4.727705722,-0.041001966,0.041001966
ERP44,0.013555857,6.375651456,2.337875767,0.019541857,0.05235137,-4.728727179,0.017366028,0.017366028
CNOT10,0.013913971,6.232548003,2.274672955,0.023084784,0.059616046,-4.729988694,0.017039562,0.017039562
TREX2,0.077492014,4.25151026,1.359679429,0.174162699,0.2899282,-4.730251026,0.041668195,0.041668195
ZNF266,-0.016414862,6.188230178,-2.239185075,0.025309268,0.064242093,-4.730502855,-0.019569476,0.019569476
DRP2,0.051335475,5.02820043,1.563256674,0.118231009,0.215795933,-4.731841638,0.034187206,0.034187206
LOC221122,-0.077596386,2.46045947,-1.306565856,0.191586919,0.311314934,-4.731867714,-0.039325852,0.039325852
ZCWPW1,-0.026328248,5.745852268,-1.918689997,0.055238217,0.119470816,-4.732078351,-0.024294079,0.024294079
VENTXP7,0.025479331,1.969004811,1.305922355,0.191805622,0.311644637,-4.732117592,0.012901213,0.012901213
RAB3D,-0.020911842,6.42773903,-2.347073877,0.019068054,0.051319055,-4.732546453,-0.026970449,0.026970449
CELSR2,-0.029133552,6.45045578,-2.353048202,0.018765724,0.050664372,-4.732713991,-0.037736613,0.037736613
APOH,0.044930087,2.022489692,1.305005738,0.192117464,0.311920074,-4.732716801,0.022732678,0.022732678
SCGBL,-0.101539213,3.108107606,-1.31556068,0.188549109,0.307417026,-4.733592978,-0.052015704,0.052015704
LOC285375,0.027668773,1.977390856,1.303662408,0.192575152,0.312354647,-4.734436021,0.01398247,0.01398247
TBC1D3H,-0.05973207,4.82183647,-1.464163797,0.143386385,0.249673062,-4.735205004,-0.035996236,0.035996236
C21orf121,0.101153287,2.888124786,1.311783483,0.189820417,0.308979016,-4.735498624,0.051595359,0.051595359
PIN1L,-0.081911838,2.783979106,-1.307239283,0.191358243,0.311066697,-4.7355683,-0.041541301,0.041541301
FAM163A,0.087790524,3.623579031,1.326278249,0.184976094,0.302968816,-4.736363434,0.045528348,0.045528348
C4orf27,0.014896764,6.097997547,2.191629045,0.028579843,0.070847983,-4.737059857,0.0171264,0.0171264
KRT27,-0.066651167,2.2603141,-1.300147141,0.193776639,0.313709564,-4.737611104,-0.033557012,0.033557012
NETO1,0.108484439,4.196605892,1.348203501,0.177823345,0.29430823,-4.73765908,0.057626673,0.057626673
SNORA57,0.089700398,2.698580475,1.305698792,0.191881646,0.311691136,-4.737713851,0.045413118,0.045413118
VSTM2A,-0.167913691,3.740244066,-1.324341484,0.185618031,0.3037176,-4.73787382,-0.086900379,0.086900379
ADAM21,-0.067689668,4.430310921,-1.366694849,0.171952809,0.287024554,-4.737890082,-0.03669328,0.03669328
NCRNA00114,0.025386481,1.958965519,1.300280882,0.193730827,0.313661706,-4.738124687,0.01278307,0.01278307
TBC1D24,0.020557463,6.109040864,2.20077164,0.02792418,0.069502139,-4.738320107,0.02380558,0.02380558
KHDC1L,0.095004459,2.671995209,1.304426252,0.192314803,0.312086342,-4.738622354,0.048046152,0.048046152
EIF5A2,0.028218405,5.770496416,1.958018023,0.050437483,0.111221838,-4.738649247,0.026914995,0.026914995
HOXB8,-0.063043913,4.822670167,-1.461200682,0.144197454,0.250664914,-4.738656036,-0.037883494,0.037883494
GIMAP6,-0.025956603,6.072985527,-2.154991588,0.031342187,0.076192338,-4.739308455,-0.029021785,0.029021785
LILRA4,-0.082615124,4.956959148,-1.499912089,0.133875385,0.237439677,-4.739549151,-0.051588742,0.051588742
RFX5,0.014825231,6.365651885,2.32983525,0.019964434,0.053259192,-4.739654283,0.018881494,0.018881494
NOS1,0.090962216,2.712337906,1.304132092,0.192415034,0.312171948,-4.739654714,0.045991054,0.045991054
NKX6-2,0.023738278,1.951920626,1.298585957,0.194312001,0.314357771,-4.739959659,0.011930284,0.011930284
FOXJ1,-0.125569819,4.863083135,-1.459268836,0.144728135,0.251299513,-4.740341449,-0.075317826,0.075317826
GLRA2,0.07263389,2.268412771,1.297834935,0.194569929,0.314658674,-4.740391107,0.036473855,0.036473855
TCTE1,-0.09849093,3.409161408,-1.316552804,0.18821623,0.30700117,-4.740572623,-0.050512055,0.050512055
LRRC30,0.015538483,1.935544555,1.298018185,0.194506971,0.314608447,-4.740696588,0.007803887,0.007803887
ABCC6P2,-0.077007622,4.883086049,-1.475842869,0.140223655,0.245640462,-4.740717868,-0.046951554,0.046951554
DUPD1,-0.040017714,2.03713513,-1.297397133,0.194720402,0.314824584,-4.740926564,-0.020086146,0.020086146
EFHB,-0.089103557,4.273154254,-1.338987639,0.180804343,0.297966887,-4.740950189,-0.046853501,0.046853501
OR2T1,0.013362946,1.93362166,1.297641605,0.194636366,0.314714512,-4.741110037,0.006709311,0.006709311
PPM1N,0.056705868,4.874100915,1.50112319,0.133561937,0.237129541,-4.741272547,0.03544198,0.03544198
SNAI3,-0.041872335,5.094577551,-1.558748781,0.119294638,0.2173953,-4.741584271,-0.027750884,0.027750884
EDNRA,-0.029411945,6.15714414,-2.209828428,0.027287512,0.068158309,-4.741610443,-0.03430848,0.03430848
DSC3,0.104856326,5.589851924,1.868833202,0.061866503,0.13059897,-4.741964672,0.092699309,0.092699309
CCBP2,-0.057957437,5.421242135,-1.703935059,0.088627672,0.172319014,-4.74207754,-0.04426017,0.04426017
ZAN,-0.114595945,3.196105456,-1.309027514,0.190751987,0.310316119,-4.742636766,-0.058237162,0.058237162
ALDH9A1,-0.014567037,6.511949148,-2.372623614,0.017804327,0.048563674,-4.742867623,-0.019136548,0.019136548
ANXA1,0.023472233,6.452164614,2.361189123,0.018360515,0.049802139,-4.742978297,0.030578498,0.030578498
BTBD8,-0.083334538,4.50003801,-1.37229687,0.170203283,0.284851498,-4.744309203,-0.045449115,0.045449115
FAM63B,-0.035994119,5.912764645,-2.02866036,0.042692535,0.097398826,-4.744536136,-0.036406118,0.036406118
DYDC1,-0.109700734,2.937846543,-1.301300533,0.193381814,0.313276633,-4.744606795,-0.055297068,0.055297068
CDC14C,-0.067619374,4.059550933,-1.319565367,0.187208112,0.305710739,-4.744645299,-0.034802969,0.034802969
CSN3,0.112650076,2.569775614,1.297107984,0.194819829,0.31493371,-4.744762026,0.056525651,0.056525651
CCR10,-0.054682644,4.752555353,-1.437618092,0.150778543,0.259136251,-4.745061006,-0.03206983,0.03206983
FCRLA,0.087071785,4.826950293,1.489432121,0.136611577,0.241003788,-4.745610746,0.053808285,0.053808285
SNX21,-0.019315591,6.093160407,-2.169062939,0.030255251,0.074107144,-4.745915691,-0.021829321,0.021829321
FCGR1B,0.030274585,5.75349078,1.941860473,0.0523657,0.114551783,-4.747083289,0.028488328,0.028488328
CWC22,0.012033474,6.193318835,2.245580111,0.0248952,0.063345953,-4.747226636,0.014419485,0.014419485
TPP1,-0.012213521,6.540959686,-2.38062083,0.017424168,0.047668752,-4.747424664,-0.016143419,0.016143419
ANGPTL7,-0.124440081,3.33705735,-1.307719979,0.191195136,0.310919505,-4.747657189,-0.063134928,0.063134928
ZSWIM3,0.017379463,5.806469456,1.973498707,0.048646267,0.108215588,-4.748014293,0.016783524,0.016783524
STX8,-0.017753588,6.026427093,-2.120111926,0.03418203,0.081676625,-4.748282729,-0.019314167,0.019314167
MGC16142,0.030721996,4.878184971,1.490776198,0.136258259,0.240531068,-4.748973714,0.019011657,0.019011657
MSMP,-0.028050052,5.33717244,-1.666595054,0.09583128,0.183010813,-4.749137019,-0.020687566,0.020687566
KRT33B,0.073397218,2.26665751,1.289137234,0.197575371,0.318578778,-4.749471805,0.036462502,0.036462502
AKR1B15,0.122438361,3.884074538,1.31282881,0.189467955,0.308583553,-4.749538334,0.06252036,0.06252036
SCN5A,0.080995799,4.298324631,1.350402697,0.17711743,0.293425179,-4.749763214,0.043130475,0.043130475
STS,-0.025808446,6.128618907,-2.188404803,0.028814215,0.071339323,-4.750594073,-0.029593797,0.029593797
LOC643955,0.039118981,2.006627179,1.287989931,0.19797434,0.319143826,-4.750628816,0.019403545,0.019403545
NRP2,0.02309507,6.271766855,2.287770062,0.022307856,0.058041374,-4.75095883,0.028551565,0.028551565
JAKMIP1,0.085565168,4.935707037,1.522670023,0.128079877,0.22942023,-4.751273244,0.054707655,0.054707655
ETAA1,-0.014937007,6.084548147,-2.162651707,0.030746396,0.074993528,-4.751458079,-0.016803777,0.016803777
GRK7,0.085659495,2.817144747,1.294411143,0.195748969,0.316176581,-4.752026382,0.04283577,0.04283577
ORM1,0.143648006,4.274509055,1.351059422,0.176907034,0.293160653,-4.752303737,0.076549206,0.076549206
KRTAP24-1,-0.01998575,1.951034715,-1.286698497,0.198424136,0.319738263,-4.752557686,-0.009897051,0.009897051
CAMKK2,-0.011926958,6.394435595,-2.328271785,0.020047525,0.053430269,-4.75307567,-0.015173627,0.015173627
C3orf51,0.032728179,2.000993009,1.285010115,0.199013313,0.320323836,-4.753777276,0.016181163,0.016181163
HOTAIR,0.12823044,5.167555623,1.630941343,0.103140332,0.193553709,-4.753841817,0.091453758,0.091453758
TNFRSF11A,0.040344244,5.567740496,1.819959001,0.068990773,0.141784017,-4.754046617,0.034226956,0.034226956
EIF4G3,-0.014712301,6.407402164,-2.331352564,0.019884084,0.053102297,-4.755378934,-0.018756517,0.018756517
PCDHB4,-0.041472085,5.634287502,-1.827296047,0.067880081,0.140085228,-4.755569542,-0.03540089,0.03540089
PSKH2,-0.058598651,2.185756439,-1.282766916,0.199798078,0.32137463,-4.755704991,-0.028888456,0.028888456
DPP6,-0.105094583,3.520096457,-1.304754885,0.192202871,0.312007377,-4.755950188,-0.053160533,0.053160533
APTX,0.014452003,6.217296388,2.255166843,0.024285481,0.062083079,-4.756178924,0.017443954,0.017443954
C21orf84,-0.083153468,2.636419407,-1.28512398,0.198973539,0.320323836,-4.756334386,-0.041111968,0.041111968
NDUFB5,0.013054789,6.362184559,2.32051013,0.020464506,0.054292184,-4.756864121,0.016517738,0.016517738
STT3A,0.013798211,6.543640005,2.382336041,0.017343567,0.047487764,-4.758338979,0.018260805,0.018260805
RNF138P1,0.038979082,4.801395037,1.460006739,0.144525256,0.251146214,-4.759212432,0.023390309,0.023390309
UPB1,0.068533357,4.089284202,1.314104707,0.189038406,0.308003322,-4.759485395,0.035051015,0.035051015
PSORS1C1,-0.085551121,4.571306516,-1.373425128,0.169852547,0.284409551,-4.759957796,-0.046715688,0.046715688
SNAP25,-0.082496895,4.788491668,-1.429676832,0.153045511,0.262483497,-4.760335943,-0.047922281,0.047922281
WISP2,-0.058565993,5.95628874,-2.041829488,0.041366124,0.094921683,-4.760406786,-0.059891609,0.059891609
GPR149,0.041528477,2.029749854,1.277834793,0.201531493,0.323450667,-4.761034495,0.020356925,0.020356925
C4orf43,0.017149331,6.114620266,2.192320448,0.028529799,0.070753056,-4.761734169,0.0197261,0.0197261
OR7G3,0.014276436,1.934996452,1.277677901,0.201586813,0.323486811,-4.761871287,0.006997501,0.006997501
PNOC,0.093557363,4.414125993,1.363088577,0.173086164,0.288557243,-4.762250861,0.050499273,0.050499273
PPAPDC1B,-0.026384229,6.284021339,-2.27283537,0.023195651,0.059846619,-4.762346753,-0.032266866,0.032266866
ASB15,-0.086830255,2.49804814,-1.277525266,0.201640643,0.32349424,-4.762489279,-0.042558413,0.042558413
IRX4,-0.124824002,4.735640831,-1.406553251,0.159794376,0.271602246,-4.76294854,-0.070658704,0.070658704
FAM120C,-0.021774516,6.096741572,-2.16141151,0.030842191,0.075152836,-4.763207187,-0.024475746,0.024475746
CERCAM,-0.02110954,6.387865341,-2.319014206,0.020545737,0.054471057,-4.763341194,-0.026678958,0.026678958
C21orf34,-0.064507957,5.019044028,-1.509364627,0.131444022,0.234276076,-4.763633517,-0.040657563,0.040657563
ASGR1,0.052583229,4.750749801,1.44293588,0.149274873,0.257381719,-4.763935705,0.030993728,0.030993728
CPD,-0.021737476,6.512820456,-2.362300581,0.018305792,0.049667365,-4.764286954,-0.028344123,0.028344123
PLEKHG5,-0.026582078,6.000745311,-2.089930553,0.036814294,0.086519951,-4.764454925,-0.028253659,0.028253659
CTRB1,0.039240404,2.006529841,1.274487842,0.20271403,0.324740862,-4.764602503,0.019167488,0.019167488
PRLH,-0.054745287,2.156345443,-1.274124584,0.202842679,0.324894182,-4.764664273,-0.026729828,0.026729828
LHX9,0.102450068,2.694483324,1.280061873,0.200747422,0.322480894,-4.764675892,0.0503538,0.0503538
MYL7,-0.129695512,3.139465909,-1.286428442,0.198518288,0.319836859,-4.764800372,-0.06420855,0.06420855
ABCB8,-0.017336357,6.230795596,-2.246935339,0.02480821,0.063189817,-4.765920004,-0.02079241,0.02079241
HAS1,-0.09958983,4.29340401,-1.317562418,0.187877929,0.306601486,-4.76641109,-0.051131982,0.051131982
TEX101,0.061633602,2.167865877,1.272301311,0.203489298,0.325586178,-4.766517363,0.030036152,0.030036152
U2AF2,0.012000313,6.523008873,2.371743909,0.017846586,0.048662414,-4.76666513,0.015754087,0.015754087
FXR1,0.012290212,6.482405102,2.358527396,0.018492149,0.050097189,-4.766731187,0.01597957,0.01597957
CREG2,-0.090185016,3.409475568,-1.291900421,0.196616903,0.317292679,-4.767053096,-0.044960833,0.044960833
P4HA3,-0.044749084,5.82462874,-1.947473406,0.051688981,0.113360591,-4.767066635,-0.042311955,0.042311955
RYR1,0.061485386,5.539791356,1.803119646,0.071596521,0.145847504,-4.76711301,0.051407993,0.051407993
DTX1,-0.041363213,5.62773165,-1.817385794,0.069383831,0.142349646,-4.767248641,-0.0350199,0.0350199
SNX24,-0.023706946,5.965254192,-2.061985104,0.039403766,0.091347146,-4.767701415,-0.024638748,0.024638748
TSPY4,0.011659667,1.930204427,1.271629883,0.203727796,0.32590441,-4.768136489,0.005677206,0.005677206
PRSS38,0.037093009,2.016659955,1.270994308,0.203953747,0.326180185,-4.768149133,0.018047323,0.018047323
STYK1,0.063271832,5.58238506,1.831356329,0.067271786,0.139179357,-4.768648426,0.05418759,0.05418759
GLYR1,-0.012894141,6.485477704,-2.353054488,0.018765408,0.050664372,-4.769011436,-0.016701747,0.016701747
SNORA49,0.035658706,2.016200179,1.26982842,0.204368701,0.326731491,-4.769352302,0.01732332,0.01732332
KLHL10,-0.076288966,3.519129966,-1.292542249,0.196394761,0.31700866,-4.769399942,-0.038062768,0.038062768
ABCA11P,-0.022878917,5.754238723,-1.906566111,0.056792917,0.122039673,-4.769812281,-0.020899867,0.020899867
LCP2,0.025449586,6.07640524,2.167083366,0.030406175,0.074319926,-4.770126278,0.028729904,0.028729904
SLC26A2,0.024556134,6.2330904,2.260826686,0.02393163,0.061377117,-4.770434832,0.029761876,0.029761876
TRPM3,-0.088065946,2.772954535,-1.273516169,0.203058285,0.325107522,-4.770566334,-0.042973802,0.042973802
SAMM50,0.013967507,6.302185767,2.290092103,0.022172514,0.057820311,-4.770788522,0.01729065,0.01729065
OR4M1,0.023511133,1.956750696,1.268698446,0.204771459,0.327234351,-4.770924823,0.011406217,0.011406217
MGEA5,-0.011749794,6.552264995,-2.373976974,0.017739486,0.048403839,-4.772085914,-0.015452391,0.015452391
MYL12B,0.012112235,6.666852278,2.415324705,0.015855813,0.044174564,-4.772174963,0.016409991,0.016409991
SLC7A14,-0.087006169,2.657747008,-1.269822654,0.204370755,0.326731491,-4.772436328,-0.04226838,0.04226838
CCDC66,-0.018344441,6.018870464,-2.103083108,0.03564667,0.084449984,-4.772735597,-0.019690931,0.019690931
CD3G,0.08512422,5.043631917,1.550689345,0.121214938,0.220020673,-4.772995095,0.055972283,0.055972283
ZNF100,-0.023718398,5.976588838,-2.068485816,0.038787973,0.090148788,-4.773166199,-0.024786677,0.024786677
GLTSCR1,-0.016692469,6.052213992,-2.128315915,0.033494987,0.080356194,-4.773279758,-0.01827793,0.01827793
OR7E156P,0.047457858,2.053682743,1.26541951,0.205943446,0.328659747,-4.773680859,0.022934175,0.022934175
GATM,-0.039117949,6.089932494,-2.14465939,0.032161495,0.077790987,-4.774070397,-0.043384572,0.043384572
TMEM217,0.040834381,4.939741609,1.496607913,0.134733446,0.23856528,-4.774162975,0.025415023,0.025415023
SPATC1,0.071462792,3.969111261,1.291840957,0.196637494,0.317299948,-4.77452362,0.035626346,0.035626346
LOC729020,0.024189853,5.319638315,1.658747676,0.097403304,0.185380178,-4.774931059,0.017705442,0.017705442
ANKRD35,-0.057501078,5.387662276,-1.666474161,0.095855343,0.183034525,-4.775164225,-0.042405147,0.042405147
FBXL19,0.018056197,6.192623078,2.234379435,0.025624339,0.064833259,-4.775428625,0.021454412,0.021454412
MYH8,-0.079306592,2.635412696,-1.266288262,0.205632455,0.32829625,-4.775803175,-0.038363301,0.038363301
FIGN,0.06804591,5.150900423,1.59030461,0.112004693,0.206735482,-4.776179008,0.046583208,0.046583208
GFRAL,-0.039557235,2.038423137,-1.263246638,0.206722776,0.329610118,-4.776237678,-0.019066566,0.019066566
SYT3,-0.103824773,3.862356481,-1.288034242,0.19795892,0.319143826,-4.776701805,-0.051498494,0.051498494
SNORA5A,0.047706846,2.099344678,1.262328118,0.20705286,0.329869773,-4.776724842,0.022978359,0.022978359
RP1,-0.109698516,4.541986693,-1.349672473,0.177351591,0.293675296,-4.776774379,-0.058374155,0.058374155
PBX4,0.061635349,4.792721698,1.44718352,0.148082053,0.255726793,-4.778436683,0.036501918,0.036501918
REEP2,-0.054370372,5.509660019,-1.731575455,0.08358192,0.164420402,-4.778631467,-0.04262878,0.04262878
ARC,0.085384103,4.942145266,1.505662931,0.132392051,0.235603861,-4.778703816,0.053605642,0.053605642
RGPD8,0.09417976,2.309271529,1.260739706,0.207624582,0.330620399,-4.779093344,0.045269418,0.045269418
C4orf22,-0.077344038,2.376973775,-1.260249877,0.207801119,0.330821395,-4.779286274,-0.037156572,0.037156572
HIST1H2AE,0.078154549,5.468957459,1.757723145,0.079025504,0.157119046,-4.779305466,0.062818373,0.062818373
CGB7,-0.096045164,3.443935834,-1.280189232,0.200702651,0.322461496,-4.780206382,-0.047208324,0.047208324
SLC22A24,-0.070771534,2.256743375,-1.258848813,0.208306671,0.331412252,-4.780275597,-0.033944253,0.033944253
SLC12A1,0.114062836,4.10347355,1.298976537,0.194177962,0.31420511,-4.780428222,0.057349283,0.057349283
C14orf139,-0.034437089,5.655885061,-1.830296554,0.067430123,0.139433816,-4.780760129,-0.029465472,0.029465472
RELL1,-0.023188429,6.222115057,-2.232969925,0.025717392,0.065018657,-4.781202204,-0.027523785,0.027523785
NDUFAB1,0.015109483,6.332210664,2.29823503,0.021703527,0.056898202,-4.781389341,0.018809817,0.018809817
PYHIN1,0.074569023,5.054033912,1.546038976,0.122333933,0.221460796,-4.781911833,0.048820574,0.048820574
PTPRE,-0.020396598,6.107990086,-2.162473493,0.030760146,0.075017789,-4.782005296,-0.022942822,0.022942822
KIR3DL2,0.105936528,3.273549565,1.277214155,0.201750394,0.323617673,-4.782303507,0.051905484,0.051905484
PNMT,-0.120283555,4.643163986,-1.365983478,0.172175933,0.287299744,-4.782683833,-0.065153363,0.065153363
DUSP21,-0.016028227,1.940809698,-1.25701663,0.208969132,0.332225045,-4.783098778,-0.007670591,0.007670591
TMEM100,-0.07609303,5.042865078,-1.500779962,0.133650711,0.237201038,-4.783303897,-0.047549273,0.047549273
