,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
RELL2,0.058492508,5.528789663,2.880144051,0.004038873,0.014728741,-2.318832044,0.107148586,0.107148586
ELAVL3,0.221701557,2.785047631,2.77144155,0.005658931,0.019356155,-2.318858583,0.379814873,0.379814873
C20orf195,-0.165356549,4.37015303,-2.762036314,0.005823574,0.019822259,-2.319141434,-0.28157688,0.28157688
SKAP1,-0.096729129,5.848564393,-2.958539704,0.003145852,0.012018582,-2.323155869,-0.185734126,0.185734126
C21orf119,0.037200554,5.711560741,2.938712323,0.003352848,0.012667098,-2.323571663,0.070581461,0.070581461
ITM2C,0.038671147,6.285625273,3.190830546,0.001451916,0.006445882,-2.323745977,0.084717564,0.084717564
NCRNA00162,0.237128649,3.252064064,2.766022682,0.00575327,0.019623595,-2.323791411,0.404831113,0.404831113
FLJ43860,0.108499989,2.09653627,2.772099662,0.005647569,0.019339984,-2.323874913,0.185919493,0.185919493
AGAP5,-0.049167058,5.450104461,-2.835567254,0.004643958,0.016466307,-2.325489399,-0.087684718,0.087684718
NBR1,-0.020076999,6.527134402,-3.243534425,0.001209994,0.005538903,-2.325712518,-0.045305278,0.045305278
RASEF,-0.113166738,5.961419619,-3.00252963,0.002727613,0.01073253,-2.329280295,-0.222859018,0.222859018
ECM1,-0.056156579,6.31978705,-3.179404264,0.001509935,0.006658499,-2.329596482,-0.122231739,0.122231739
FOXH1,0.131959157,4.548498829,2.751443976,0.006014164,0.020348092,-2.330221694,0.223205789,0.223205789
CTAG1B,0.245814699,2.778372498,2.766114418,0.005751661,0.0196215,-2.330640475,0.419671518,0.419671518
PPM1E,0.103386737,5.1893356,2.798316142,0.00521139,0.018129965,-2.332286331,0.180058654,0.180058654
ACTN2,0.222604622,4.237372053,2.753395647,0.005978629,0.020248707,-2.332372834,0.377003793,0.377003793
GAS6,-0.034661241,6.381814552,-3.201911599,0.001397622,0.00624702,-2.333056704,-0.076404712,0.076404712
GTPBP2,0.019488449,6.293019061,3.185257374,0.001479953,0.006548244,-2.335769087,0.042560338,0.042560338
MDH1B,-0.100885738,5.27481969,-2.78910675,0.005361013,0.018551928,-2.336204582,-0.174694849,0.174694849
CAGE1,0.194271927,3.003960309,2.761625363,0.005830865,0.01984023,-2.337801956,0.330738882,0.330738882
MLF1,0.034472657,6.146616243,3.134001695,0.001762233,0.007532374,-2.339293558,0.0731878,0.0731878
SOCS1,0.066899855,5.50456663,2.867033891,0.004208935,0.015224875,-2.339709551,0.121586892,0.121586892
FAM171A2,0.073892239,5.448857147,2.85124303,0.00442239,0.015851652,-2.339754345,0.133000523,0.133000523
